Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linegabe,linedwig,linejwilson,linegametime,linecover81,linecrunch,linensr,linelinx,linecombo,linegirl,linestd,linegrn,week,hscore,rscore
Washington,Philadelphia,-7,-9.9,-1.9,-5,-11.56,-6.777142857,-5,-5,-11.89,-4.71,-3,-5.83,-12.24,-5.53,-5.27,-10.8,-1.87,-4,-13.72,-8.94,-13.75,-7,-8,-7,-9.44,-4.5,-8.84,-11.17,-5.77,,-7.5,-9,,-9.67,-6.67,-5.37,-4.7,-3,,-8,-6.83,-10.37,-17.27,-8,-8.7,-12.5,-3,-10.87,-8.5,-1.34,-2.73,-10,-9,-6.4,,-5,-12.45,-8,-9.8,-2.1,-1,,-7,-4.9,-6.61,-8.31,-4.73,3.2487452706,,7,17,27
Arizona,Carolina,10,20.68,7.69,12,8.91,13.4134,6,10,14.15,17.82,8,10.79,5.43,15.03,13.29,21.46,9.43,9,20.7,18.12,20.54,7,13,10,25.62,4,20.52,20.83,9.39,,7.5,14,,18.23,11.25,13.18,11.3,5,,21,7,13.38,19.6,13.18,21.7,18,5,21.19,22.3,8.84,13.04,18,23,17.8,,13,20.26,15.5,24,7.5,8,19.6,8,12.7,11.81,10.03,5.9,5.6579135875,,8,21,34
Baltimore,Denver,3.5,-7.73,-5.46,-5,6.55,-1.2228,3,3,0.32,-2.29,3,-1.55,-0.23,-8.2,-2.22,-4.16,-1.22,-1,-3.64,-3.03,-3.61,-6.53,9,2.5,-2.99,4.5,-12.21,-3.62,0.05,,3.5,-9,,-3.17,1.88,-5.12,-2.4,6,,-6,-7.14,-0.05,-7.72,-1.55,-2.7,-6.6,4,-0.26,0.7,1.22,-2.58,7,1.5,-5.9,,-1,-3.2,-1.5,-0.8,-2.1,3,1.6,-3.5,0.7,-1.24,0.13,-0.06,4.0656902118,,8,30,7
Buffalo,Houston,-3,-2.93,-2.16,-2,-0.88,-1.1666,-1,1,-7.49,-2.68,-3,1.57,5.05,-6.5,-1.23,0.1,0.34,-2,-2.77,0.45,-2.86,-7,1,-2.5,1.2,1,-3.43,-2.46,-0.66,,-3,-5,,0.53,0.12,0.21,-0.6,2,,-1,1.42,-0.91,-2.39,-0.6,-2.5,-2.9,0.01,0.88,-0.1,0.24,0.31,4,4,-1.6,,-3,-0.46,-1.5,-1.3,1.8,1.5,-9.2,-3.7,1.3,-3.48,-5.69,-3.88,2.7225750191,,8,10,31
Chicago,Cleveland,13,8.19,11.03,9,12.94,11.0336,10,12,11.03,9.02,4,11.26,19.42,8.76,12.12,9.23,10.71,11,10.83,9.62,10.9,7,11,12.5,12.62,11.5,7.15,9.9,11.58,,12,16,,9.63,8.94,9.74,8.2,10,,7,2.16,13.06,16.05,10.83,12.5,10.5,10,12.18,12.1,10.77,11.06,21,10,10.5,,10,9.27,11,13.8,13.1,11,22.5,13.6,9.1,15.59,9.76,8.5,2.8756733089,,8,30,6
Dallas,Seattle,9,5.57,8.68,7,16.89,8.1416,8,10,13.97,4.02,1,7.95,15.62,4.2,6.34,9.8,5.33,7,4.83,7.78,4.35,7,10,9,7.93,3.5,7.71,3.49,8.55,,7.5,5,,8.93,10.38,8.63,8.4,5,,7,2.29,11.67,14.11,7.93,2.4,11.9,10,7.42,11.9,4.52,6.99,17,9,7.5,,13,6.75,6.5,7.2,9.9,7.5,3.3,8.25,5.7,14.56,11.87,9.78,3.3863033604,,8,38,17
Detroit,St. Louis,4,10.97,4.84,10,8.59,7.059,2,7,9.81,5.82,-4,7.21,6.67,6.78,6.78,4.33,10.57,5,8.71,4.69,8.92,7,6,5,12.07,6.5,12.36,9.37,5.49,,4,7,,6.53,5.64,9.97,2.7,7,,11,7,6.8,1.49,6.8,14.9,6.2,7,11.96,6.1,5.59,6.75,5,9.5,10.3,,-1,10.9,10,11.4,3.1,4,5.7,0.75,8.1,9.42,9.67,9.52,3.4726395595,,8,10,17
Green Bay,Minnesota,3,0.4,-1.36,1,5.14,1.6154,1,2,2.14,-0.27,-3,3.22,-3.14,1.36,5.4,3.01,4.92,2,1.62,2.11,1.91,-1.29,2,3,3.45,0.5,-2.7,3.38,-1.86,,3,4,,2.13,2.63,1.14,4.3,5,,2,1.06,0.98,7.08,2,4.5,1.2,3,3.15,7.2,1.56,0.19,7,-2,1.2,,3,3.23,1.5,4.2,-0.4,3.5,-0.4,6,3.3,-8.18,0.16,-1.82,2.7621636077,,8,26,38
Indianapolis,San Francisco,13,10.49,5.48,13,11.89,11.967,10,14,15.11,10.27,24,9.22,16.76,9.95,12.1,15.59,11.53,11,11.62,11.02,12.27,-13.3,19,13,19.92,3,12.45,8.66,9.18,,9.5,18,,10.83,13.14,11.83,8.9,9,,12,9.51,13.28,24.81,11.96,15,15.4,11,11.55,21,7.74,11.96,16,10,12,,-4.1,13.97,9.5,13.5,14.2,10.5,12.6,14,9.4,12.38,12.25,9.4,4.4042957926,,8,18,14
N.Y. Jets,Miami,3,3.57,0.65,6,2.82,4.1376,3,6,2.5,4.56,-3,6.31,4.38,-3.03,9.63,3.34,7.74,4,1.35,5.16,2.16,6.23,8,3,6.39,4,2.94,4.49,2.35,,4,9,,5.23,4.33,4.42,1.5,4,,5,1.41,4.96,-6.06,4.4,4.7,5.2,4,2.52,4.4,3.36,7.21,10,3,5.2,,5,1.97,6.5,3.7,3.5,4.5,-2.7,6.5,4.2,1.1,4.66,6.82,2.6023337721,,8,25,30
New Orleans,Atlanta,11,8.57,12.33,10,7.98,11.4538,9,9,16.33,11.38,21,9.86,11.09,12.47,8.01,18.87,7.34,9,14.18,13.66,14.14,7,13,11,14.98,3.5,8.07,9.23,8.69,,7.5,8,,15.63,10.4,11.59,13.4,9,,10,9.35,16.12,26.78,11,14.6,15.1,11,15.15,19.6,7.77,13.54,3,14,10.7,,13,13.96,8.5,17.7,12.5,10.5,13.8,7,10.6,8.38,10.61,4.88,3.6141467449,,8,35,27
Philadelphia,N.Y. Giants,-1,-5.96,1.44,-0.25,-0.71,-0.1164,2,2,6.1,-4.22,-3,1.25,-5.3,-7.86,3.43,-2.9,3.17,1,-2.14,0.47,-2.27,3.05,1,-1,-1.6,0.5,-7.92,-4.12,0.07,,3,0.5,,1.63,1.77,1.51,-0.3,3,,-4,-13.52,0.52,-10.77,0.07,-2.4,-1.6,1,-0.02,0.4,2.09,1.99,-1,-0.5,-2.2,,5,-4.5,-2,-3.4,-1.6,3,2.2,0.82,1.8,-0.71,3.43,0.76,2.9927911755,,8,40,17
San Diego,Oakland,16.5,12.17,5.16,12,16.72,13.5748,13,15,20.81,12.76,13,11.49,13.57,7.06,16.63,14.34,14.1,12,16.84,11.23,16.84,7,24,16,17.58,12,7.72,18.27,8.52,,14.5,21,,12.03,12.08,10.94,13.1,9,,14,8.99,17.53,16.72,13.1,21.6,13.6,14,17.48,25.2,8,12.41,7,14.5,12.6,,16,21.39,12.5,21.2,9.5,12.5,12.5,9,12.8,8.24,13.64,6.47,4.4150009777,,8,24,16
Tennessee,Jacksonville,3,-4.17,0.79,-3,0.79,-1.4692,1,1,-2,-4.05,-4,-3.73,4.55,-8.05,-4.3,0.4,-4.04,-4,-5.41,-1.54,-3.99,7,3,2,-2.98,1.5,-5.77,-2.39,-1.54,,0,-13,,-1.97,0.94,-4.19,-1.3,-2,,-1,-6.68,0.35,3.11,-1.64,-4.9,-3.4,1,-1.64,3.2,-2.97,-3.02,-1,1.5,-3.5,,2,-4.73,-2,-2.8,-1,0.01,-3.1,4,-1.9,3.53,1.72,5.44,3.3717317297,,8,30,13
Atlanta,Washington,10,22.47,5.14,12,13.78,13.6704,6,11,12.79,18.46,7,11.03,10.65,15.53,9.61,22.95,6.34,8,21.01,19.12,21.19,7,11,10,24.13,6,23.97,21.82,13.32,,11.5,13,,16.35,11.34,15.9,11.6,8,,24,7,16.7,5,13,22.7,18.3,6,22.27,18.8,7.01,7.04,15,18,19.6,,12,23.58,22,25.2,6.7,6.5,12.2,3,12.2,16.81,12.2,11.61,5.9687478467,,9,31,17
Chicago,Arizona,3,1.97,2.85,2,2.71,1.1158,0,3,-0.2,-1.43,-7,4.42,-4.8,1.22,2.39,2.77,2.54,2,1.28,3.45,1.6,-7.95,-2,3,0.23,2.5,3.13,0.83,0.72,,3,-1,,1.65,2.21,3.24,1.8,3,,4,4.64,0.82,2.7,2,5.2,1.6,2,-0.98,-0.7,2.97,2.13,-6,-7,3.9,,4,0.62,2,2.3,-1,4.5,-6.9,4,1.3,-0.45,1.13,2.45,2.7897187994,,9,21,41
Cincinnati,Baltimore,-3,0.81,-0.28,3,-3.33,-0.5972,-3,-1,-3.03,-1.08,-4,-1.94,-7.61,1.09,1,-2.51,1.84,1,-3.02,0.76,-2.5,2.76,-7,-3,1.75,-3.5,4.28,-2.83,4.06,,-2.5,-3,,-1.25,-1.57,3.48,-3.6,3,,2,3.83,-3.6,-4.19,-0.5,-1.7,-1.6,-1,-0.13,-2,1.53,0.21,7,-1,3.5,,3,-3.26,2,-0.3,-0.7,-0.5,-5.2,1,1.1,0.91,-0.33,2.37,2.740177292,,9,17,7
Denver,Pittsburgh,-3,8.09,6.24,5,2.12,3.5334,-2,2,2.9,4.56,6,3.36,-1.49,0.09,4.79,4.1,3.74,1,5.48,6.1,5.62,-1.75,-3,-1.5,10.06,-0.5,8.03,8.41,4.3,,0,3,,5.15,1.22,6.56,-2.9,7,,10,6.57,1.31,-1.61,3.8,8.1,2.7,1,7.97,-1.4,3.8,0.6,-5,5.5,8.9,,-3,6.82,9,7.9,-1.3,1.5,7.1,1.8,5.4,-0.24,3.36,3.82,3.5122918908,,9,10,28
Indianapolis,Houston,9,10.28,3.01,11,8.89,9.0284,8,9,10.62,5.8,5,10.07,13.41,5.34,10.64,8.62,9.53,8,9.93,9.36,10.23,-9.91,10,9,12.23,5,11.82,9.12,6.21,,9.5,15,,8.25,9.57,10.35,4.9,10,,11,7,8.62,2.32,9.57,9.7,11.8,7,12.43,7.7,8.27,9.68,10,8,10.7,,8,8.63,11.5,11.7,10.5,8.5,9.2,9.7,9,8.56,8.51,6.4,2.2933651952,,9,20,17
Jacksonville,Kansas City,6.5,4.56,5.57,8,3.12,4.753,4,5,0.77,3.84,3,3.96,-1.33,0.25,6.5,6.68,5.29,6,4.91,6.84,3.63,3.01,4,6.5,6.6,10,8.42,0.35,5.3,,6.5,6,,4.45,7.36,5.71,-0.2,6,,5,7,1.7,10.46,5,1.2,6.5,9,1.73,0.8,5.24,3.81,11,4,7.3,,6,-1.39,5.5,4.2,3.4,5,9.4,8.8,3.3,12.23,2.95,5.14,2.9360005074,,9,24,21
N.Y. Giants,San Diego,5.5,-0.63,5.02,4,5.6,2.6978,1,3,5.42,-0.6,9,3.54,10.3,-0.62,2.93,-0.58,2.94,3,-2.09,1.24,-1.64,5.22,2,4.5,2.99,3,-1.51,0.27,2.97,,4,-0.5,,-0.45,3.15,2.28,-1.1,6,,-1,1.01,1.98,20.03,2.97,-3.9,-1.8,6,5.21,-0.9,3.06,3.73,6,9.5,2.3,,-3,-1.54,2,2.4,3,3.5,7.9,3.5,3.8,2.62,6.56,7.71,3.2039454567,,9,20,21
New England,Miami,10.5,6.11,5.47,10,9.98,8.4476,8,9,9.29,6.42,10,9.85,5.32,5.17,13.01,5.77,11.52,9,3.98,6.57,5,7,14,10,10.29,4,4.8,8.22,7.24,,12,15,,5.45,8.21,8.67,4.4,7,,8,3.29,8.71,10.06,8.24,10.5,7.2,8,9.86,8.5,9.61,9.71,14,5,8.4,,8,9.68,9,9.5,12.3,11,12.2,7.5,8.5,5.52,8.24,7.19,2.4797988398,,9,27,17
New Orleans,Carolina,13,22.64,12.54,20,15.64,16.9656,11,12,19.49,21.93,16,16.48,18.63,16.54,16.02,23.93,13.92,13,25.72,21.13,26.31,7,17,13.5,25.3,6.5,21.91,23.48,14.48,,14.5,5,,22.15,14.14,19.7,13.1,12,,24,7,22.55,5.82,17,29.7,18.7,11,26.17,19.1,13.56,13.57,17,26,21,,16,25.46,23,28.9,14.7,12.5,12,6.9,16.7,11.07,14.15,8.8,5.6047975659,,9,30,20
Philadelphia,Dallas,3,-0.98,8,-1,9.02,2.1458,3,4,5.6,-3.39,5,-0.17,-3.64,2.39,3.72,-0.87,2.8,2,-0.17,1.45,-0.39,7,7,3,1.25,3,-1.19,-0.8,2.53,,4,1,,0.15,3.55,2.53,0.1,4,,2,-6.85,0.75,1.94,2,0.4,-0.1,4,2.68,2.9,3.69,2.85,3,5.5,1.6,,2,-2.44,1,-1.5,-0.6,3,2.1,3.8,3.3,2.22,4.73,3.86,2.6367180357,,9,16,20
San Francisco,Tennessee,3.5,11.64,5.62,8,6.78,9.5992,4,6,11.75,10.34,6,12.49,11.12,9.11,12.93,9.06,10.62,7,10.12,10.11,10.14,9.44,5,4.5,10.85,3,9.2,14.26,10.08,,6,10,,7.65,3.95,9.88,5.9,10,,12,9.57,8.24,-5.91,9.88,12.9,7.8,3,15.02,9.8,9.96,4.39,13,5.5,11,,48.1,15.26,14.5,18,9.8,6,15.8,2.6,10.8,4.76,8.05,4.34,6.5312138572,,9,27,34
Seattle,Detroit,10,10.2,6.88,8,12.3,9.5574,10,9,10.49,12.54,3,10.33,17.8,11.3,10.38,12.88,8.31,8,9.06,10.55,9.17,7,13,10,11.4,3,9.36,11.07,9.38,,10.5,10,,5.95,9.24,7.79,6.8,7,,11,7,10.98,10.62,9.7,6.7,11.2,7,12.3,14.2,8.44,7.98,16,9.5,8.8,,11,11.17,10.5,12.6,9.7,10,11.4,6.6,9.1,14.03,7.27,4.05,2.7729022665,,9,32,20
Tampa Bay,Green Bay,-9.5,-19.27,-10.58,-13,-10.11,-11.6804,-8,-6,-10.69,-21.56,-14,-11.79,-12.94,-20.17,-12.82,-16.73,-8.87,-10,-21.37,-10.75,-21.53,-7,-7,-9.5,-14.87,-5,-21.04,-18.71,-6.29,,-9.5,-23,,-13.85,-7.21,-11.58,-9,-7,,-17,-7,-10.52,-26.63,-12,-20.1,-14.6,-3,-13.48,-12.5,-7.15,-7.49,-24,-11,-14.5,,-12,-17.7,-17.5,-19.1,-6.3,-8,-15.1,-11.7,-8.1,-3.97,-6.06,-1.42,5.1301612975,,9,38,28
Arizona,Seattle,8,8.21,5.16,8,11.2,9.4024,7,11,18.38,7.24,7,6.47,16.27,5.91,6.16,11.17,5.03,7,11.16,9.96,10.34,13.84,12,8,14.53,4.5,10.01,6.62,10.01,,7.5,4,,9.27,9.6,8.72,8,3,,9,12.6,10.92,10.6,9.2,10.8,12.8,7,9.66,16,5.94,7.98,14,18,8.7,,8,9.2,8.5,15,4.9,7,23,5.6,6.5,15.1,13.83,9.27,4.0690943484,,10,31,20
Carolina,Atlanta,-1.5,-9.34,-0.91,-5,-10.53,-4.3664,-1,0.01,-5.43,-13.89,1,-4.35,-6.71,-7.3,-4.91,-3.83,-2.22,-3,-10.34,-3.41,-10.9,-7,0.01,-2,-5.97,-3,-8.28,-10.46,-2.48,,-1.5,-10,,-6.03,-1.95,-3.96,-1.4,-4,,-7,-6.2,-3.79,-10.53,-4.35,-11.2,-5.7,2,-8.24,1.2,-1.43,-2.35,-6,-9.5,-4.7,,-4,-9.13,-9.5,-5.6,-1,1,-7.5,-1,-3.6,1.5,-2.82,-0.22,3.824818395,,10,28,19
Cleveland,Baltimore,-10.5,-12.43,-8.28,-10,-14.54,-12.3524,-11,-10,-10.79,-18.54,-13,-11.5,-18.67,-3.72,-13.3,-13.27,-8.76,-11,-20.09,-10.48,-20.49,-11.94,-18,-10.5,-14.02,-8.5,-9.09,-16.68,-5.92,,-10.5,-21,,-13.13,-9.64,-9.1,-12.3,-16,,-12,-8.9,-17.34,-5.34,-11.5,-18.4,-16.2,-9,-17.97,-21.2,-6.12,-8.85,-5,-14.5,-10.1,,-11,-22.79,-13,-17.9,-10.4,-8.5,-15.5,-8,-10,-13.51,-7.79,-4.79,4.3779342627,,10,0,16
Green Bay,Dallas,-3,-4.15,0.84,-4,2.86,-2.7062,-2,-4,-2.81,-1.6,8,-3.95,1.15,-2.06,1,-7.82,0.98,-1,-4.61,-4.88,-4.09,8.47,-3,-3,-3.48,1,-6.04,-2.27,-1.13,,-1,-3,,-5.93,-1.99,-2.61,-5.5,4,,-2,-4.83,-8.26,-11.09,-2.27,-3.8,-8.9,1,-3.42,-9.7,1.82,-1.6,2,-3,-1.1,,-5,-8.96,2,-2.4,-7.3,-1,-10,-1.3,-0.1,-10.12,-2,-1.18,3.789128859,,10,17,7
Indianapolis,New England,2.5,1.1,0.39,4,-1.53,2.4476,1,4,3.86,0.09,2,4.16,5.6,7.9,3.24,2.02,3.43,3,-2.26,3.91,-2.29,8.47,1,2.5,1.72,2,4.51,-2.34,2.29,,3,1,,1.57,3.01,3.34,-0.6,6,,3,7,-0.46,4.24,3,-6.5,5.3,2,0.77,0.01,3.45,4.01,5,1.5,5.6,,2,-7.15,5,1.2,3.3,4.5,1.6,5.2,2.1,7.8,4.85,5.83,2.9179245909,,10,35,34
Miami,Tampa Bay,10,15.25,11.67,14,13.82,12.1534,8,10,13.31,20.06,9,9.92,8.31,13.91,10.15,17.05,8.85,10,17.2,14.28,17.25,7,10,10,19.85,8,15.31,15.35,12.05,,9.5,8,,13.57,8.21,12.84,7.3,10,,13,7,15.02,22.5,12.6,21.2,15.1,7,18.07,16.5,9.41,8.59,17,23,12.6,,11,17.51,18.5,22.2,6.1,9.5,8.2,3,11.2,12.12,9.77,6.22,4.3327394407,,10,25,23
Minnesota,Detroit,16.5,19.28,8.53,22,15.89,18.0872,15,19,27.67,21.74,13,19.54,18.16,18.1,16.92,22.79,14.05,17,17.41,19.76,16.89,8.86,24,16.5,22.23,9,22.03,17.01,15.3,,16,19,,17.47,17.61,19.41,16.5,12,,20,7,21.87,29.9,18.16,19.8,19.5,14,20.27,27.2,13.16,15.81,20,16.5,21.2,,17,20.93,19,25.1,11.3,17.5,19.1,12.4,14.3,28.14,21.02,14.37,4.2743988908,,10,27,10
N.Y. Jets,Jacksonville,7,10.35,7.89,8,10.76,10.0442,5,8,9.72,12.85,10,8.34,14.22,2.8,11.44,12.53,8.14,7,14.45,10.47,15.31,5.92,14,7,16.59,2,5.62,16.39,7.49,,6,11,,11.17,6.37,9.01,8.2,7,,10,6.47,14.54,18.56,10,22.8,12.6,8,16.85,18.6,8.25,6.94,10,12,8.1,,6,20.35,16.5,19.7,9.7,6.5,1,7,10.6,4.82,9.48,9.23,4.4954022271,,10,22,24
Oakland,Kansas City,2,3.39,-0.91,3,-5.1,1.266,1,0.01,-4.51,-1.21,-1,1.75,-6.8,7.26,-0.91,3.18,-0.58,1,-0.51,4.36,-0.87,-2.96,0.01,2,3.25,1.5,6.86,-0.51,2.54,,1,-5,,2.17,1.66,4.36,-0.1,0.01,,5,8.63,-0.28,1.84,1.4,2.3,3.8,3,-0.51,3.6,1.35,0.36,6,-1,4.4,,1,-1.82,2.5,2.2,2.1,-2,3,1.4,0.5,12.76,0.55,5.61,3.293396609,,10,10,16
Pittsburgh,Cincinnati,7,-0.45,0.93,2,5.24,3.506,6,8,6.5,-0.52,5,5.88,1.92,0.7,3.75,5.14,3.41,5,-0.86,4.25,-1.05,-3.9,9,6,2.01,2,0.35,-1.04,4.85,,6.5,1,,2.37,6.62,1.88,3.9,5,,2,1.84,5.21,20.66,3.41,-2.5,5.2,8,0.01,4.4,3.76,4.88,1,2.5,2.7,,7,-2.45,0.5,0.3,6.4,8.5,-3.3,5.7,2.1,6.37,5.38,4.25,2.9500674499,,10,12,18
San Diego,Philadelphia,1,2.92,1.68,3,0.22,0.6624,1,3,-1.53,4.37,3,-0.99,-1.61,8.62,-0.37,1.13,0.42,-1,-3.23,1.57,-2.64,-2.69,1,1,2.83,0.01,5.2,0.56,1.09,,1.5,-5,,-1.73,0.08,2.87,1.2,1,,5,5.68,-1.57,8.23,0.42,4.4,0.4,1,-2,0.01,2.68,-0.34,-4,-2,3.1,,-1,-2.62,3.5,2.4,0.1,0.5,-12.6,0.01,0.01,5.03,-0.52,0.49,3.0334660986,,10,31,23
San Francisco,Chicago,3.5,1.02,5.72,1,-0.05,3.3322,2,2,7.22,1.08,-7,2.65,7.59,-1.34,4.01,5.08,3.74,2,1.36,4.45,1.14,-4.76,5,3.5,0.83,-1,-0.96,2.96,3.71,,4,1,,3.57,2.51,1.36,1.9,3,,3,0.04,2.98,3.87,2.51,1.5,2.4,1,5.35,6.2,3.51,0.66,6,-3,1.1,,50.2,2.16,4,7.5,0.5,1.5,6.5,3.3,4.2,1.37,4.45,1.68,7.237977869,,10,10,6
St. Louis,New Orleans,-13.5,-25.16,-11.79,-25,-26.91,-20.9642,-15,-15,-23.21,-32.18,-14,-18.56,-25.76,-28.74,-17.06,-25.55,-15.43,-17,-35.93,-20.66,-35.74,-7,-24,-14.5,-29.02,-7.5,-24.52,-26.21,-15.58,,-13.5,-24,,-25.23,-17.11,-23.26,-16,-11,,-21,-7,-28.81,-5.57,-21,-33.6,-20.8,-13,-30.01,-24.5,-12.77,-13.61,-17,-25,-21.1,,-16,-37.81,-23,-30.7,-17,-14.5,-36,-7.4,-17,-23.87,-18.4,-13.59,7.0763212771,,10,23,28
Tennessee,Buffalo,8,-0.53,2.34,2,2.91,2.2544,5,5,5.9,-0.7,-3,0.9,6.88,-3.71,0.88,4.9,1.27,2,-1.37,3.06,-1.24,3.95,5,7,-0.06,0.01,0.08,-1.31,1.83,,5.5,-3,,1.37,5.22,0.47,2.9,3,,2,0.26,3.92,6.95,2,-2.2,4.6,6,1.21,9,0.63,2.24,14,3.5,0.8,,7,-5.39,0.01,4.1,-2.1,3.5,0.9,8.3,1.2,6.92,5.99,6.08,3.2281587347,,10,41,17
Washington,Denver,-3.5,-18.57,-9.29,-9,-8.7,-8.4524,-2,-2,-6.27,-17.84,-6,-7.37,-0.91,-17.92,-5.24,-13,-1.21,-4,-15.22,-12.05,-15.61,-7,-1,-4,-14.31,-3.5,-23.19,-15.29,-7.09,,-6.5,-10,,-13.03,-5.5,-11.79,-6.5,-1,,-15,-7,-7.91,7.72,-7.37,-19.6,-14.8,-2,-12.22,-3.2,-2.4,-4.34,-3,-8.5,-12.1,,-6,-14.36,-15.5,-15.2,-4.9,0.01,-11.2,-1.6,-4.8,-10.45,-6.48,-6.7,5.71604243,,10,27,17
Baltimore,Indianapolis,0,-3.5,-1.46,-6,1.57,-1.605102041,0,-1,0.55,-1.61,3,-2.61,0.92,-6.39,0.39,0.22,0.47,-2,-1.83,0.05,-1.89,-6.84,2,0,,-1,-8.09,0.37,0.71,,0,-4,,-2.13,0.25,-3.74,-2.6,-5,,-2,-7.76,-1.55,-9.48,-1.23,-0.3,-7.4,3,-0.79,-0.4,-1.55,0.45,-3,2.5,-5.6,,-5,-3.91,-1,-0.3,-4.5,-0.5,-1.9,-3.6,0.5,-5.92,0.01,-0.56,2.7044339538,,11,15,17
Carolina,Miami,3,-2.5,-1.82,-0.25,-2.68,0.1746938776,2,4,1.77,-7.76,-3,2.87,-0.74,0.45,0.29,2.02,1.12,2,-4.03,1.5,-4.35,-5.13,2,2.5,,-1,-1.22,-3.86,-0.07,,3,-2,,-1.13,2.04,-0.37,1.4,-1,,-1,-1.68,0.92,-7.38,-0.14,-5.2,-0.8,3,-2.58,5.1,0.53,2.53,-3,-6.5,1.1,,2,-2.43,-2.5,0.2,4.4,2,-0.5,3,-0.2,4.58,2.61,3.44,2.7801686865,,11,17,24
Chicago,Philadelphia,-3,-0.38,2.8,-1,-0.7,-1.384489796,-3,-2,-4.06,12.11,6,-0.88,-8.37,5.31,-2.94,-1.96,-0.94,-3,-4.09,0.17,-3.69,9.85,-8,-3,,0.5,1.23,-2.07,-0.29,,-3,-7,,-2.83,-2.27,1.07,-3.1,-5,,1,1.08,-6.17,-15.5,-1.62,3,-3.5,-2,-4.25,-7,0.69,0.61,3,-1,-0.3,,-5,-5.01,0.01,0.7,-2.1,1,-4.3,0.9,-1.5,-0.16,-1.74,0.58,3.6226412218,,11,20,24
Dallas,Washington,10.5,13.23,7.54,10,14.48,11.503265306,8,11,18.6,15.06,14,13,12.12,9.81,11.12,13.08,7.69,10,13.43,13.14,13.3,16.39,12,10.5,,5,13.69,13.1,13.35,,11,9,,12.57,11.5,12.53,8.6,8,,14,10.19,13.99,2.06,12.12,13.3,12.7,9,16.41,13.3,9.22,12.28,6,11,13.2,,10,12.63,15,16.6,9.6,10,9,7.9,10.4,9.98,14.05,9.49,2.6218404698,,11,7,6
Denver,San Diego,-6,3.2,3.57,3,-0.07,0.7495918367,-2,-3,-4.45,1.84,7,0.41,3.24,-0.39,2,-0.91,2.24,1,1.51,3.51,1.36,-1.62,-6,-4.5,,2.5,4.18,2.36,2.05,,-2.5,-2,,2.27,0.52,3.24,-5.2,5,,-7,3.17,-3.76,-0.57,1.72,5.6,-0.8,2,3.12,-8.1,1.56,2.94,-9,4,3.9,,-4,-1.85,3,3.3,1.6,0.5,-6,-1.2,2.7,-4.35,0.77,5.99,3.4284702366,,11,3,32
Detroit,Cleveland,3,-1.21,3.87,2,-1.2,2.1426530612,2,3,-3.01,0.92,-3,3.09,4.77,4.43,6.1,-0.09,6.61,4,2.8,0.56,3.54,3.57,2,3,,5,-3.39,1.4,1.77,,3.5,3,,0.47,0.1,2.09,0.6,6,,1,-1.48,1.55,4.15,2.7,-1.1,-0.4,4,4.62,4.6,5.46,2.6,11,5,2.9,,6,0.45,2,2.2,2.8,0.5,5.4,3.3,4.2,-2.1,-0.56,1.89,2.5822339936,,11,38,37
Green Bay,San Francisco,6.5,2.8,3.57,4,7.65,4.1742857143,4,7,11.44,3.71,14,5.35,7.06,2.72,6.98,3.56,5.59,6,4.56,2.6,4.78,9.37,6,6.5,,3.5,1.93,3.86,3.76,,5.5,5,,1.47,5.55,4.73,2.8,4,,4,3.97,5.53,20.72,4.62,2.5,4.2,8,4.67,8.5,5.93,1.1,2,7,6.7,,-22.7,2.52,6,3.1,0.3,6,-0.7,3,4.8,0.78,7.07,2.71,4.7442601285,,11,30,24
Houston,Tennessee,4,7.46,5.94,8,6.74,6.0785714286,4,7,0.76,8.35,-10,7.44,1.63,7.15,10.3,5.91,8.04,6,5.78,6.1,5.55,6.32,8,4.5,,4,6.3,8.79,8.68,,4.5,7,,4.67,4.26,7.88,3.6,9,,9,3.87,8.08,15.1,6.87,9.5,5.3,5,10.3,8,9.1,5.12,14,6,9.7,,-3,5.98,10.5,9.8,6.6,5,9.3,1.9,7.9,4.47,3.62,6.48,3.5339348938,,11,17,20
Jacksonville,Buffalo,8.5,5.31,3.29,6,2.19,5.042244898,6,6,3.83,2.1,14,4.29,5.78,0.78,6.18,3.34,5.06,7,4.62,5.52,3.82,6.43,4,7.5,,2,7.18,3.17,3.12,,10,4,,3.87,5.01,6.59,3.6,4,,11,4.56,4.16,0.76,4.91,3.7,7.1,7,5.29,7.1,4.82,6.71,6,6,8.4,,9,4.21,6.5,6.2,1.2,5,6,4.6,4.6,5.24,3.69,3.54,2.1923496388,,11,18,15
